Category,x,y,amount
ant,23.4529381894888,30.2054125959486,0
ant,32.6934269981507,2,0
ant,19.4851817226442,2.17436992452987,0
ant,37.7908059987223,5.65818317992601,0
ant,19.5497237886367,5.62433975297208,0
ant,24.7692817222266,2.31316112515518,0
ant,20.5423910195666,29.0263209974501,0
ant,23.5372358558657,30.1381152859705,0
ant,17.4248521818311,34.8481333651349,0
ant,26.9808421909838,27.5635531421985,0
ant,12.81613682703,3.34208376864157,0
ant,20.4372589789126,29.1163217459818,0
ant,20.8618351146425,30.5940881207575,0
ant,9.44547707339535,20.363058987298,0
ant,17.4560007770555,3.0672967783109,0
chemical,0,0,2.27622897059557
chemical,1,0,2.74587259472338
chemical,2,0,3.38895185233993
chemical,3,0,4.21558665966
chemical,4,0,5.2320562732382
chemical,5,0,6.33902467514652
chemical,6,0,7.27697506051651
chemical,7,0,7.6717141626271
chemical,8,0,7.31897296984174
chemical,9,0,6.29104277769443
chemical,10,0,4.94011212727427
chemical,11,0,3.61627222935178
chemical,12,0,2.55361925601781
chemical,13,0,1.79589860668504
chemical,14,0,1.2921021377838
chemical,15,0,0.96631977646338
chemical,16,0,0.784166321022289
chemical,17,0,0.770910520399266
chemical,18,0,0.986636446672502
chemical,19,0,1.45274422373535
chemical,20,0,2.02342400500181
chemical,21,0,2.46750663981188
chemical,22,0,2.59315803394311
chemical,23,0,2.45948080537512
chemical,24,0,2.22016868796371
chemical,25,0,2.01699554333327
chemical,26,0,1.87209912337816
chemical,27,0,1.768715139505
chemical,28,0,1.68404386093941
chemical,29,0,1.59685105654584
chemical,30,0,1.48976489604135
chemical,31,0,1.35433199344259
chemical,32,0,1.19326566737916
chemical,33,0,1.01781924803969
chemical,34,0,0.842640124310337
chemical,35,0,0.681031062180603
chemical,36,0,0.542157600952117
chemical,37,0,0.430384024567977
chemical,38,0,0.346190946724596
chemical,0,1,2.74126451034371
chemical,1,1,3.54268161300877
chemical,2,1,4.6979518355807
chemical,3,1,6.24171144753236
chemical,4,1,8.29858969003048
chemical,5,1,10.9553645936607
chemical,6,1,13.6231492367999
chemical,7,1,15.2928009005745
chemical,8,1,14.8654864463294
chemical,9,1,12.5206966528453
chemical,10,1,9.10797513633413
chemical,11,1,5.91740767979644
chemical,12,1,3.55754428650439
chemical,13,1,2.14210995377726
chemical,14,1,1.38030694227044
chemical,15,1,0.975786671047374
chemical,16,1,0.781393742393253
chemical,17,1,0.790344840043258
chemical,18,1,1.07781952559144
chemical,19,1,1.68215174117654
chemical,20,1,2.4547855803757
chemical,21,1,2.93635199534878
chemical,22,1,2.93048390638129
chemical,23,1,2.5241862297722
chemical,24,1,2.11002304302916
chemical,25,1,1.82705753290739
chemical,26,1,1.66368227888386
chemical,27,1,1.56314247146223
chemical,28,1,1.48623348864104
chemical,29,1,1.40937414142767
chemical,30,1,1.31754033170323
chemical,31,1,1.20393506335533
chemical,32,1,1.0707613892126
chemical,33,1,0.927115953924325
chemical,34,1,0.784839704176144
chemical,35,1,0.654553543765883
chemical,36,1,0.54327697313349
chemical,37,1,0.45388843156902
chemical,38,1,0.385981662292681
chemical,0,2,3.5994288193113
chemical,1,2,5.06388965649873
chemical,2,2,7.2369646033062
chemical,3,2,10.0261002903218
chemical,4,2,13.5941483064269
chemical,5,2,18.4235389619859
chemical,6,2,24.5952903596688
chemical,7,2,29.0390038188871
chemical,8,2,29.4766794344479
chemical,9,2,24.3944251681106
chemical,10,2,16.9984666682676
chemical,11,2,9.89078314421855
chemical,12,2,5.17145014898426
chemical,13,2,2.68459458820392
chemical,14,2,1.53397103750203
chemical,15,2,1.0095192135072
chemical,16,2,0.782345211715926
chemical,17,2,0.787718403006676
chemical,18,2,1.092763831821
chemical,19,2,1.75386947309123
chemical,20,2,2.57680831520082
chemical,21,2,3.14462387825844
chemical,22,2,2.96611004465986
chemical,23,2,2.44230208347254
chemical,24,2,1.93291677631735
chemical,25,2,1.61888517534665
chemical,26,2,1.45582078896656
chemical,27,2,1.36716460271953
chemical,28,2,1.30398304208299
chemical,29,2,1.24176711860326
chemical,30,2,1.16778671264229
chemical,31,2,1.07725319065526
chemical,32,2,0.972723064661399
chemical,33,2,0.862057502014503
chemical,34,2,0.754890648567651
chemical,35,2,0.659286239334665
chemical,36,2,0.579801610341845
chemical,37,2,0.517221674811453
chemical,38,2,0.469546457797606
chemical,0,3,4.82723749250748
chemical,1,3,7.31149377159421
chemical,2,3,10.9631331560251
chemical,3,3,15.599235005831
food,3,3,2
chemical,4,3,20.6579327465746
food,4,3,2
chemical,5,3,27.0024951266864
food,5,3,2
chemical,6,3,35.6240497954623
food,6,3,1
chemical,7,3,45.4700865279022
chemical,8,3,46.69914750809
chemical,9,3,39.684215310774
chemical,10,3,25.9911248840182
chemical,11,3,14.1157906438818
chemical,12,3,6.78239670051571
chemical,13,3,3.20323123508519
chemical,14,3,1.67557672840809
chemical,15,3,1.03681039238057
chemical,16,3,0.769745540119189
chemical,17,3,0.740947764031928
chemical,18,3,0.984822706935329
chemical,19,3,1.52598486069688
chemical,20,3,2.21549348139998
chemical,21,3,2.6054821935221
chemical,22,3,2.51907468849656
chemical,23,3,2.06182209905129
chemical,24,3,1.63400986096892
chemical,25,3,1.36832117554614
chemical,26,3,1.23837600284591
chemical,27,3,1.17409878587528
chemical,28,3,1.13080371940577
chemical,29,3,1.08716262617735
chemical,30,3,1.03378723251625
chemical,31,3,0.968484706588596
chemical,32,3,0.894855021493943
chemical,33,3,0.820168173321222
chemical,34,3,0.752223156449807
chemical,35,3,0.696515599716102
chemical,36,3,0.654776642694766
chemical,37,3,0.6251135724947
chemical,38,3,0.603307611469119
chemical,0,4,6.06847973267791
chemical,1,4,9.85310528966986
chemical,2,4,15.0642960130196
chemical,3,4,21.4595496258334
food,3,4,2
chemical,4,4,27.9990174680876
food,4,4,2
chemical,5,4,34.0247776537454
food,5,4,2
chemical,6,4,42.050579949527
food,6,4,2
chemical,7,4,51.1673479144739
chemical,8,4,57.2807361825645
chemical,9,4,46.6019569298073
chemical,10,4,30.2056014026914
chemical,11,4,16.0171995790904
chemical,12,4,7.49054694990253
chemical,13,4,3.41651636629707
chemical,14,4,1.72136397402343
chemical,15,4,1.02921218177752
chemical,16,4,0.733976536078667
chemical,17,4,0.656190312361942
chemical,18,4,0.784907814110771
chemical,19,4,1.11647554161968
chemical,20,4,1.50980151858183
chemical,21,4,1.76399133962482
chemical,22,4,1.73173136689793
chemical,23,4,1.50715953901904
chemical,24,4,1.25333741619067
chemical,25,4,1.09324345264902
chemical,26,4,1.01797842443992
chemical,27,4,0.985693526756038
chemical,28,4,0.965424690057957
chemical,29,4,0.942486594280433
chemical,30,4,0.91172891857091
chemical,31,4,0.873919954251958
chemical,32,4,0.834079196182706
chemical,33,4,0.799238736412421
chemical,34,4,0.775537824942168
chemical,35,4,0.765804912704652
chemical,36,4,0.768586968469515
chemical,37,4,0.778811041396251
chemical,38,4,0.78954070962159
chemical,0,5,6.82931308530804
chemical,1,5,11.30797043082
chemical,2,5,17.9090627368246
chemical,3,5,25.05396977871
food,3,5,2
chemical,4,5,32.3999998511679
food,4,5,2
chemical,5,5,37.7444790787679
