Category,x,y,amount
ant,34.8162506946956,2.0625133075093,0
ant,5.94158768813865,32.669378537067,0
ant,7.82983136175621,54.3188977080125,0
ant,22.5052328960787,27.6142905600501,0
ant,3.3752810782084,57,0
ant,38,14.7111009053528,0
ant,2.05233595624294,14.9001900019331,0
ant,4.48411120442432,43.0139914502716,0
ant,36.5545682569976,4.7356851917879,0
ant,34.759852119065,50.6799707960796,0
ant,25.5167150539981,29.3742059010129,0
ant,23.1342906137716,49.9999644010202,0
ant,23.17796022873,30.2255657421802,0
ant,2,5.10645706583764,0
ant,2.77316372723627,6.97260947684137,0
chemical,0,0,2.73970708326451
chemical,1,0,3.35033555986038
chemical,2,0,3.85895652841165
chemical,3,0,4.18040297244223
chemical,4,0,4.33046952848277
chemical,5,0,4.39003509207052
chemical,6,0,4.41172270806648
chemical,7,0,4.37287401098009
chemical,8,0,4.19467538148866
chemical,9,0,3.81154594138333
chemical,10,0,3.22607506435651
chemical,11,0,2.51837534192107
chemical,12,0,1.80680691315943
chemical,13,0,1.19371899247676
chemical,14,0,0.730549006716589
chemical,15,0,0.417649058692334
chemical,16,0,0.225131352981444
chemical,17,0,0.115528099324871
chemical,18,0,0.056982153323238
chemical,19,0,0.027264177644306
chemical,20,0,0.012751865470904
chemical,21,0,0.005857197358428
chemical,22,0,0.002644146683976
chemical,23,0,0.001170240093103
chemical,24,0,5.06E-04
chemical,25,0,2.12E-04
chemical,26,0,8.64E-05
chemical,27,0,3.41E-05
chemical,28,0,1.32E-05
chemical,29,0,5.15E-06
chemical,30,0,2.21E-06
chemical,31,0,1.22E-06
chemical,32,0,9.48E-07
chemical,33,0,9.24E-07
chemical,34,0,9.75E-07
chemical,35,0,1.03E-06
chemical,36,0,1.06E-06
chemical,37,0,1.05E-06
chemical,38,0,9.84E-07
chemical,0,1,3.45433335530703
chemical,1,1,4.28944042824739
chemical,2,1,4.95379854888766
chemical,3,1,5.27955384029556
chemical,4,1,5.34896218532848
chemical,5,1,5.36064776704147
chemical,6,1,5.4657300688081
chemical,7,1,5.60792734085536
chemical,8,1,5.58701697541469
chemical,9,1,5.21962789109999
chemical,10,1,4.46758815425441
chemical,11,1,3.47226313274804
chemical,12,1,2.44792056277187
chemical,13,1,1.57643485941396
chemical,14,1,0.936585525239594
chemical,15,1,0.519917607117727
chemical,16,1,0.272992368166721
chemical,17,1,0.137025251198822
chemical,18,1,0.066378059739887
chemical,19,1,0.031307324091216
chemical,20,1,0.014484192369729
chemical,21,1,0.006603602063162
chemical,22,1,0.00296926981985
chemical,23,1,0.001313189915794
chemical,24,1,5.69E-04
chemical,25,1,2.40E-04
chemical,26,1,9.86E-05
chemical,27,1,3.96E-05
chemical,28,1,1.59E-05
chemical,29,1,6.81E-06
chemical,30,1,3.55E-06
chemical,31,1,2.54E-06
chemical,32,1,2.39E-06
chemical,33,1,2.53E-06
chemical,34,1,2.75E-06
chemical,35,1,2.94E-06
chemical,36,1,3.05E-06
chemical,37,1,3.04E-06
chemical,38,1,2.86E-06
chemical,0,2,4.43268473996176
chemical,1,2,5.87407893420304
chemical,2,2,7.06314770646907
chemical,3,2,7.65347215115397
chemical,4,2,7.41691396498512
chemical,5,2,7.14194650829231
chemical,6,2,7.36423899759362
chemical,7,2,7.9961572994825
chemical,8,2,8.43227524916164
chemical,9,2,7.9222959871632
chemical,10,2,6.69147439936352
chemical,11,2,5.01120419981975
chemical,12,2,3.44245466979993
chemical,13,2,2.14355826959843
chemical,14,2,1.22625107632876
chemical,15,2,0.65609835514005
chemical,16,2,0.333460994884168
chemical,17,2,0.162961376047865
chemical,18,2,0.077304741890023
chemical,19,2,0.035884167002813
chemical,20,2,0.016407797659952
chemical,21,2,0.007419885205507
chemical,22,2,0.003319707702402
chemical,23,2,0.001465066432451
chemical,24,2,6.35E-04
chemical,25,2,2.69E-04
chemical,26,2,1.12E-04
chemical,27,2,4.64E-05
chemical,28,2,2.01E-05
chemical,29,2,1.02E-05
chemical,30,2,6.81E-06
chemical,31,2,6.09E-06
chemical,32,2,6.38E-06
chemical,33,2,7.05E-06
chemical,34,2,7.79E-06
chemical,35,2,8.41E-06
chemical,36,2,8.78E-06
chemical,37,2,8.78E-06
chemical,38,2,8.33E-06
chemical,0,3,5.47021725988351
chemical,1,3,8.23527848324835
chemical,2,3,14.5859025060345
chemical,3,3,16.0835266688761
food,3,3,1
chemical,4,3,14.9509600240345
food,4,3,2
chemical,5,3,10.0442969459501
food,5,3,1
chemical,6,3,10.0028111710783
food,6,3,2
chemical,7,3,13.996189885666
food,7,3,1
chemical,8,3,14.8893118227479
chemical,9,3,14.1105113093998
chemical,10,3,9.55277952062445
chemical,11,3,6.97661873783491
chemical,12,3,4.66763238870892
chemical,13,3,2.80851363846273
chemical,14,3,1.54707420394514
chemical,15,3,0.797754309823552
chemical,16,3,0.392668638056758
chemical,17,3,0.187114094381599
chemical,18,3,0.087149018507404
chemical,19,3,0.039946780905034
chemical,20,3,0.018113594272293
chemical,21,3,0.008148312698111
chemical,22,3,0.003635296712463
chemical,23,3,0.001603702335692
chemical,24,3,6.97E-04
chemical,25,3,2.99E-04
chemical,26,3,1.28E-04
chemical,27,3,5.64E-05
chemical,28,3,2.81E-05
chemical,29,3,1.79E-05
chemical,30,3,1.51E-05
chemical,31,3,1.54E-05
chemical,32,3,1.71E-05
chemical,33,3,1.93E-05
chemical,34,3,2.15E-05
chemical,35,3,2.34E-05
chemical,36,3,2.45E-05
chemical,37,3,2.47E-05
chemical,38,3,2.36E-05
chemical,0,4,6.47370741304158
chemical,1,4,11.0005902938459
chemical,2,4,26.2648451391709
chemical,3,4,87.1695928371803
food,3,4,2
chemical,4,4,26.5316772053453
food,4,4,2
chemical,5,4,13.2573467436178
food,5,4,2
chemical,6,4,15.1857020373621
food,6,4,2
chemical,7,4,19.9144544649678
food,7,4,2
chemical,8,4,37.2632425382887
chemical,9,4,17.7677180842012
chemical,10,4,12.4622481670438
chemical,11,4,8.96041549602917
chemical,12,4,5.8660881894087
chemical,13,4,3.42819665190899
chemical,14,4,1.8262398880981
chemical,15,4,0.911128544975691
chemical,16,4,0.43586301392682
chemical,17,4,0.203329552860086
chemical,18,4,0.093423026495156
chemical,19,4,0.042509628173982
chemical,20,4,0.019215640939842
chemical,21,4,0.008639418539423
chemical,22,4,0.003859972560594
chemical,23,4,0.001710260559476
chemical,24,4,7.52E-04
chemical,25,4,3.30E-04
chemical,26,4,1.50E-04
chemical,27,4,7.51E-05
chemical,28,4,4.62E-05
chemical,29,4,3.69E-05
chemical,30,4,3.62E-05
chemical,31,4,3.96E-05
chemical,32,4,4.50E-05
chemical,33,4,5.12E-05
chemical,34,4,5.75E-05
chemical,35,4,6.28E-05
chemical,36,4,6.63E-05
chemical,37,4,6.71E-05
chemical,38,4,6.45E-05
chemical,0,5,7.07210931843846
chemical,1,5,14.0079011977969
chemical,2,5,33.5082012554592
chemical,3,5,134.147940691671
food,3,5,2
chemical,4,5,33.2769389568344
food,4,5,2
chemical,5,5,16.2303514905677
food,5,5,2
chemical,6,5,16.9103785898916
food,6,5,2
chemical,7,5,37.608386870388
food,7,5,2
chemical,8,5,23.1045173170022
chemical,9,5,19.7281188528954
chemical,10,5,14.2147334575836
chemical,11,5,10.3358066660964
chemical,12,5,6.68038552370145
chemical,13,5,3.8219592027549
chemical,14,5,1.98537061734019
chemical,15,5,0.964993523422912
chemical,16,5,0.451336451591443
chemical,17,5,0.207272838975211
chemical,18,5,0.094493693140246
chemical,19,5,0.042939051424828
chemical,20,5,0.01946436773636
chemical,21,5,0.008797815133482
chemical,22,5,0.003962331895736
chemical,23,5,0.001780284202359
chemical,24,5,8.05E-04
chemical,25,5,3.76E-04
chemical,26,5,1.92E-04
chemical,27,5,1.17E-04
chemical,28,5,8.92E-05
chemical,29,5,8.35E-05
chemical,30,5,8.86E-05
chemical,31,5,9.99E-05
chemical,32,5,1.15E-04
chemical,33,5,1.32E-04
chemical,34,5,1.49E-04
chemical,35,5,1.63E-04
chemical,36,5,1.73E-04
chemical,37,5,1.76E-04
chemical,38,5,1.71E-04
chemical,0,6,7.05710676734927
chemical,1,6,14.0941593321732
chemical,2,6,35.2547250059486
chemical,3,6,110.42965312666
food,3,6,2
chemical,4,6,34.3565064167996
food,4,6,2
chemical,5,6,17.5443653184763
food,5,6,2
chemical,6,6,16.8383446174434
food,6,6,2
chemical,7,6,18.3345255687568
food,7,6,1
chemical,8,6,19.7731737907141
chemical,9,6,16.8525917395364
chemical,10,6,14.2757856100917
chemical,11,6,10.5334181449942
chemical,12,6,6.78036797726012
chemical,13,6,3.84182470759734
chemical,14,6,1.96722124878869
chemical,15,6,0.940994516744323
chemical,16,6,0.433985624256875
chemical,17,6,0.197667208773557
chemical,18,6,0.090025482289068
chemical,19,6,0.041123465669819
chemical,20,6,0.018819081174877
chemical,21,6,0.008618017236743
chemical,22,6,0.003957113999977
chemical,23,6,0.001839334388524
chemical,24,6,8.88E-04
chemical,25,6,4.67E-04
chemical,26,6,2.87E-04
chemical,27,6,2.15E-04
chemical,28,6,1.93E-04
chemical,29,6,1.96E-04
chemical,30,6,2.15E-04
chemical,31,6,2.46E-04
chemical,32,6,2.85E-04
chemical,33,6,3.28E-04
chemical,34,6,3.73E-04
chemical,35,6,4.11E-04
chemical,36,6,4.39E-04
chemical,37,6,4.49E-04
chemical,38,6,4.38E-04
chemical,0,7,6.13610297895215
chemical,1,7,12.0249637440717
chemical,2,7,23.2636368321095
chemical,3,7,102.011778625417
chemical,4,7,27.0777652223606
chemical,5,7,16.2890724202914
food,5,7,2
chemical,6,7,13.2073631059246
food,6,7,2
chemical,7,7,14.0682176201164
chemical,8,7,14.9710548119799
chemical,9,7,14.6536248624541
chemical,10,7,12.515743660445
chemical,11,7,9.38205074406982
chemical,12,7,6.07566026857941
chemical,13,7,3.44980229764171
chemical,14,7,1.76496493928836
chemical,15,7,0.841403085830276
chemical,16,7,0.387019646685204
chemical,17,7,0.17651659446828
chemical,18,7,0.08098160828832
chemical,19,7,0.037477090263511
chemical,20,7,0.01746784027825
chemical,21,7,0.008210505031401
chemical,22,7,0.003932279149844
chemical,23,7,0.001969525808181
chemical,24,7,0.001079833591977
chemical,25,7,6.83E-04
chemical,26,7,5.12E-04
chemical,27,7,4.46E-04
chemical,28,7,4.35E-04
chemical,29,7,4.59E-04
chemical,30,7,5.10E-04
chemical,31,7,5.86E-04
chemical,32,7,6.82E-04
chemical,33,7,7.91E-04
chemical,34,7,9.02E-04
chemical,35,7,0.001000770187748
chemical,36,7,0.00107328723265
chemical,37,7,0.00110496781505
chemical,38,7,0.001084159290756
chemical,0,8,4.85058898403464
chemical,1,8,7.9057333487976
chemical,2,8,14.6379918058517
chemical,3,8,17.8797091853234
chemical,4,8,17.3676831508462
chemical,5,8,12.7625390403785
chemical,6,8,13.6529810399399
chemical,7,8,14.5554482843422
chemical,8,8,15.0758099724473
chemical,9,8,11.9388464500058
chemical,10,8,9.87845300036641
chemical,11,8,7.30349029572661
chemical,12,8,4.78378098883338
chemical,13,8,2.75801900906893
chemical,14,8,1.42980978813175
chemical,15,8,0.689518486970582
chemical,16,8,0.320705339989061
chemical,17,8,0.148244890711804
chemical,18,8,0.069232194231563
chemical,19,8,0.032814096188904
chemical,20,8,0.015816678256891
chemical,21,8,0.007834336291488
chemical,22,8,0.004096590929791
chemical,23,8,0.002361512879879
chemical,24,8,0.001563251615246
chemical,25,8,0.001198422943205
chemical,26,8,0.001036219623038
chemical,27,8,9.78E-04
chemical,28,8,9.86E-04
chemical,29,8,0.001052586964229
chemical,30,8,0.001175948330665
chemical,31,8,0.001355063268351
chemical,32,8,0.001582493109806
chemical,33,8,0.001842298216509
chemical,34,8,0.002109806735891
chemical,35,8,0.002353321296051
chemical,36,8,0.002537497051605
chemical,37,8,0.00262791753968
chemical,38,8,0.002596155425645
chemical,0,9,3.57134690651218
chemical,1,9,5.12258463846548
chemical,2,9,6.94375858859769
chemical,3,9,8.36935362372363
chemical,4,9,8.5113472019584
chemical,5,9,8.59202737123489
chemical,6,9,11.624982560234
chemical,7,9,27.4962921097998
chemical,8,9,15.3448840246984
chemical,9,9,11.601560781368
chemical,10,9,7.07067386577171
chemical,11,9,5.01752316702699
chemical,12,9,3.33184999027773
chemical,13,9,1.96973688962691
chemical,14,9,1.04987761844139
chemical,15,9,0.520249135784159
chemical,16,9,0.248574488568568
chemical,17,9,0.11817212821315
chemical,18,9,0.057006887732702
chemical,19,9,0.028202547462192
chemical,20,9,0.014503291063868
chemical,21,9,0.00797268149146
