BehaviorSpace results (NetLogo 6.2.0),,,
one_ant_tester_10cns_FoodX2KTicks.nlogo,,,
experiment3,,,
04/29/2022 11:00:15:746 +0200,,,
min-pxcor,max-pxcor,min-pycor,max-pycor
0,100,0,60
[run number],used_random_seed,[step],food_collected
30,230,2000,107
25,225,2000,90
15,215,2000,103
13,213,2000,104
19,219,2000,98
3,203,2000,114
22,222,2000,95
24,224,2000,92
16,216,2000,101
7,207,2000,108
17,217,2000,95
8,208,2000,101
26,226,2000,89
10,210,2000,89
12,212,2000,105
23,223,2000,104
5,205,2000,96
6,206,2000,94
32,232,2000,100
1,201,2000,92
14,214,2000,94
28,228,2000,100
2,202,2000,102
27,227,2000,95
11,211,2000,91
20,220,2000,97
29,229,2000,93
9,209,2000,100
18,218,2000,99
21,221,2000,101
4,204,2000,87
31,231,2000,92
38,238,2000,92
34,234,2000,93
33,233,2000,89
39,239,2000,102
37,237,2000,92
48,248,2000,107
47,247,2000,98
54,254,2000,88
53,253,2000,96
35,235,2000,97
56,256,2000,87
46,246,2000,85
52,252,2000,110
36,236,2000,97
57,257,2000,90
42,242,2000,96
45,245,2000,88
59,259,2000,103
55,255,2000,100
40,240,2000,90
49,249,2000,108
43,243,2000,103
41,241,2000,112
51,251,2000,92
61,261,2000,96
50,250,2000,95
60,260,2000,86
62,262,2000,102
44,244,2000,101
64,264,2000,101
58,258,2000,94
63,263,2000,88
65,265,2000,97
67,267,2000,100
79,279,2000,87
66,266,2000,93
69,269,2000,101
82,282,2000,94
68,268,2000,99
77,277,2000,90
70,270,2000,86
73,273,2000,103
92,292,2000,92
89,289,2000,102
72,272,2000,89
75,275,2000,112
86,286,2000,102
76,276,2000,94
71,271,2000,99
84,284,2000,108
78,278,2000,90
80,280,2000,96
81,281,2000,98
88,288,2000,95
85,285,2000,87
83,283,2000,104
87,287,2000,90
90,290,2000,103
91,291,2000,99
93,293,2000,98
74,274,2000,91
96,296,2000,97
94,294,2000,105
95,295,2000,95
98,298,2000,89
97,297,2000,95
99,299,2000,89
100,300,2000,93
