BehaviorSpace results (NetLogo 6.2.0),,,
one_ant_tester_20cns_FoodX2KTicks.nlogo,,,
experiment3,,,
05/03/2022 17:03:36:406 +0200,,,
min-pxcor,max-pxcor,min-pycor,max-pycor
0,100,0,60
[run number],used_random_seed,[step],food_collected
30,230,2000,1
1,201,2000,1
15,215,2000,0
7,207,2000,2
28,228,2000,3
13,213,2000,0
16,216,2000,0
5,205,2000,0
27,227,2000,1
23,223,2000,1
10,210,2000,1
22,222,2000,0
3,203,2000,1
19,219,2000,0
25,225,2000,0
12,212,2000,0
32,232,2000,0
18,218,2000,0
29,229,2000,1
17,217,2000,2
6,206,2000,0
8,208,2000,2
14,214,2000,2
4,204,2000,0
24,224,2000,0
20,220,2000,2
9,209,2000,0
31,231,2000,0
26,226,2000,0
11,211,2000,2
21,221,2000,0
2,202,2000,1
38,238,2000,2
37,237,2000,0
34,234,2000,0
50,250,2000,0
33,233,2000,0
44,244,2000,0
36,236,2000,1
43,243,2000,0
45,245,2000,3
42,242,2000,0
35,235,2000,0
52,252,2000,0
48,248,2000,2
40,240,2000,0
41,241,2000,0
56,256,2000,0
46,246,2000,1
49,249,2000,0
59,259,2000,0
57,257,2000,0
39,239,2000,1
54,254,2000,1
58,258,2000,1
47,247,2000,0
55,255,2000,1
60,260,2000,1
51,251,2000,3
53,253,2000,0
64,264,2000,0
61,261,2000,2
62,262,2000,0
63,263,2000,0
66,266,2000,0
67,267,2000,0
78,278,2000,1
68,268,2000,0
73,273,2000,1
79,279,2000,2
75,275,2000,0
82,282,2000,1
71,271,2000,0
70,270,2000,1
77,277,2000,0
74,274,2000,1
65,265,2000,0
76,276,2000,0
91,291,2000,1
69,269,2000,1
72,272,2000,1
92,292,2000,0
80,280,2000,3
85,285,2000,4
83,283,2000,0
86,286,2000,0
90,290,2000,0
96,296,2000,1
87,287,2000,0
93,293,2000,1
88,288,2000,0
95,295,2000,0
81,281,2000,1
89,289,2000,3
94,294,2000,0
84,284,2000,0
97,297,2000,2
100,300,2000,0
99,299,2000,0
98,298,2000,0
