BehaviorSpace results (NetLogo 6.2.0),,,
one_ant_tester14112022.nlogo,,,
experiment1,,,
11/14/2022 18:42:37:178 +0100,,,
Min-pxcor,max-pxcor,min-pycor,max-pycor
0,100,0,60
[run number],used_random_seed,[step],collected-food
1,1,2000,91
60,60,2000,84
63,63,2000,95
8,8,2000,95
57,57,2000,88
62,62,2000,103
6,6,2000,93
40,40,2000,109
46,46,2000,103
4,4,2000,96
5,5,2000,102
61,61,2000,91
2,2,2000,102
13,13,2000,93
48,48,2000,103
16,16,2000,104
47,47,2000,94
9,9,2000,90
54,54,2000,101
58,58,2000,103
14,14,2000,95
19,19,2000,95
24,24,2000,92
38,38,2000,94
7,7,2000,95
31,31,2000,89
18,18,2000,104
27,27,2000,89
49,49,2000,89
45,45,2000,108
64,64,2000,98
34,34,2000,93
30,30,2000,101
37,37,2000,101
52,52,2000,85
41,41,2000,98
39,39,2000,94
33,33,2000,95
26,26,2000,94
21,21,2000,97
42,42,2000,93
44,44,2000,110
23,23,2000,97
15,15,2000,97
32,32,2000,99
10,10,2000,97
50,50,2000,97
29,29,2000,97
43,43,2000,103
22,22,2000,96
3,3,2000,96
12,12,2000,100
35,35,2000,92
25,25,2000,105
51,51,2000,113
56,56,2000,97
36,36,2000,99
17,17,2000,97
11,11,2000,89
28,28,2000,93
20,20,2000,94
55,55,2000,98
53,53,2000,98
59,59,2000,95
76,76,2000,97
78,78,2000,105
65,65,2000,97
90,90,2000,108
80,80,2000,103
68,68,2000,99
83,83,2000,96
75,75,2000,100
66,66,2000,95
70,70,2000,104
79,79,2000,95
73,73,2000,85
67,67,2000,103
72,72,2000,98
77,77,2000,109
69,69,2000,89
100,100,2000,102
84,84,2000,104
87,87,2000,104
71,71,2000,94
98,98,2000,99
92,92,2000,103
74,74,2000,105
81,81,2000,102
96,96,2000,95
86,86,2000,94
97,97,2000,96
95,95,2000,85
91,91,2000,102
99,99,2000,102
89,89,2000,98
88,88,2000,90
94,94,2000,85
93,93,2000,93
82,82,2000,95
85,85,2000,87
