BehaviorSpace results (NetLogo 6.2.0),,,
Ants_modified_foodcollected_x_2k.nlogo,,,
experiment2,,,
04/28/2022 16:17:34:166 +0200,,,
min-pxcor,max-pxcor,max-pxcor,min-pycor
-20,100,20,-30
[run number],used_random_seed,[step],food_collected
6,217,2000,100
2,213,2000,146
4,218,2000,103
3,203,2000,150
8,208,2000,150
7,221,2000,144
5,207,2000,101
1,201,2000,121
9,230,2000,100
10,209,2000,100
12,212,2000,130
11,220,2000,107
13,232,2000,149
14,205,2000,145
15,216,2000,149
16,202,2000,115
18,223,2000,109
17,229,2000,124
19,231,2000,106
20,211,2000,111
21,215,2000,101
22,214,2000,150
23,225,2000,109
26,210,2000,142
25,206,2000,150
27,227,2000,149
29,224,2000,100
28,226,2000,149
30,219,2000,145
24,228,2000,102
31,222,2000,125
33,204,2000,119
32,234,2000,124
35,237,2000,114
36,244,2000,148
34,246,2000,149
37,235,2000,117
40,240,2000,105
39,236,2000,117
41,242,2000,149
38,238,2000,150
42,239,2000,144
43,241,2000,150
45,233,2000,149
44,258,2000,104
46,253,2000,131
48,263,2000,104
47,249,2000,123
50,250,2000,103
51,245,2000,140
52,247,2000,114
53,248,2000,150
49,243,2000,114
54,252,2000,148
55,251,2000,104
57,256,2000,140
58,262,2000,110
59,255,2000,132
56,259,2000,112
60,257,2000,109
62,254,2000,107
63,261,2000,110
64,264,2000,144
65,260,2000,110
66,266,2000,150
61,271,2000,140
68,265,2000,150
67,269,2000,111
70,272,2000,107
69,274,2000,109
71,277,2000,107
72,278,2000,118
73,267,2000,103
75,270,2000,150
74,280,2000,102
76,275,2000,149
77,281,2000,115
78,284,2000,105
79,276,2000,146
80,268,2000,111
81,295,2000,101
82,279,2000,102
85,273,2000,148
86,283,2000,150
84,287,2000,150
83,282,2000,150
87,289,2000,150
89,286,2000,103
88,288,2000,105
90,285,2000,116
92,292,2000,101
91,294,2000,149
93,290,2000,110
94,293,2000,149
95,291,2000,127
96,296,2000,101
97,297,2000,103
98,298,2000,101
99,299,2000,111
100,300,2000,119
